name_model,classifier,run,accuracy,sensitivity,specificity,precision,recall,f1,kappa
top5_RandomForestClassifier_voting_models_1,RandomForestClassifier,1,0.8863636363636364,0.8695652173913043,0.9047619047619048,0.9090909090909091,0.8695652173913043,0.888888888888889,0.7727272727272727
top5_RandomForestClassifier_voting_models_2,RandomForestClassifier,2,0.8636363636363636,0.8260869565217391,0.9047619047619048,0.9047619047619048,0.8260869565217391,0.8636363636363636,0.7278350515463918
top5_RandomForestClassifier_voting_models_3,RandomForestClassifier,3,0.8636363636363636,0.8695652173913043,0.8571428571428571,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.7267080745341615
top5_RandomForestClassifier_voting_models_4,RandomForestClassifier,4,0.8409090909090909,0.8695652173913043,0.8095238095238095,0.8333333333333334,0.8695652173913043,0.851063829787234,0.6804979253112035
top5_RandomForestClassifier_voting_models_5,RandomForestClassifier,5,0.9545454545454546,0.9130434782608695,1.0,1.0,0.9130434782608695,0.9545454545454545,0.9092783505154641
top5_RandomForestClassifier_voting_models_6,RandomForestClassifier,6,0.8636363636363636,0.8260869565217391,0.9047619047619048,0.9047619047619048,0.8260869565217391,0.8636363636363636,0.7278350515463918
top5_RandomForestClassifier_voting_models_7,RandomForestClassifier,7,0.8636363636363636,0.9565217391304348,0.7619047619047619,0.8148148148148148,0.9565217391304348,0.8800000000000001,0.7244258872651358
top5_RandomForestClassifier_voting_models_8,RandomForestClassifier,8,0.8863636363636364,0.9130434782608695,0.8571428571428571,0.875,0.9130434782608695,0.8936170212765957,0.7717842323651453
top5_RandomForestClassifier_voting_models_9,RandomForestClassifier,9,0.9318181818181818,0.9130434782608695,0.9523809523809523,0.9545454545454546,0.9130434782608695,0.9333333333333332,0.8636363636363635
top5_RandomForestClassifier_voting_models_10,RandomForestClassifier,10,0.7954545454545454,0.7391304347826086,0.8571428571428571,0.85,0.7391304347826086,0.7906976744186046,0.5925925925925926
top5_RandomForestClassifier_voting_models_11,RandomForestClassifier,11,0.8181818181818182,0.782608695652174,0.8571428571428571,0.8571428571428571,0.782608695652174,0.8181818181818182,0.6371134020618558
top5_RandomForestClassifier_voting_models_12,RandomForestClassifier,12,0.9090909090909091,0.9130434782608695,0.9047619047619048,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.8178053830227743
top5_RandomForestClassifier_voting_models_13,RandomForestClassifier,13,0.9318181818181818,0.9130434782608695,0.9523809523809523,0.9545454545454546,0.9130434782608695,0.9333333333333332,0.8636363636363635
top5_RandomForestClassifier_voting_models_14,RandomForestClassifier,14,0.8409090909090909,0.8260869565217391,0.8571428571428571,0.8636363636363636,0.8260869565217391,0.8444444444444444,0.6818181818181819
top5_RandomForestClassifier_voting_models_15,RandomForestClassifier,15,0.9545454545454546,0.9130434782608695,1.0,1.0,0.9130434782608695,0.9545454545454545,0.9092783505154641
top5_RandomForestClassifier_voting_models_16,RandomForestClassifier,16,0.8409090909090909,0.8260869565217391,0.8571428571428571,0.8636363636363636,0.8260869565217391,0.8444444444444444,0.6818181818181819
top5_RandomForestClassifier_voting_models_17,RandomForestClassifier,17,0.8636363636363636,0.9130434782608695,0.8095238095238095,0.84,0.9130434782608695,0.8749999999999999,0.7255717255717256
top5_RandomForestClassifier_voting_models_18,RandomForestClassifier,18,0.8409090909090909,0.8695652173913043,0.8095238095238095,0.8333333333333334,0.8695652173913043,0.851063829787234,0.6804979253112035
top5_RandomForestClassifier_voting_models_19,RandomForestClassifier,19,0.8181818181818182,1.0,0.6190476190476191,0.7419354838709677,1.0,0.8518518518518519,0.6294736842105265
top5_RandomForestClassifier_voting_models_20,RandomForestClassifier,20,0.9090909090909091,0.9565217391304348,0.8571428571428571,0.88,0.9565217391304348,0.9166666666666666,0.8170478170478169
top5_LogisticRegression_voting_models_1,LogisticRegression,1,0.8409090909090909,0.782608695652174,0.9047619047619048,0.9,0.782608695652174,0.8372093023255814,0.683127572016461
top5_LogisticRegression_voting_models_2,LogisticRegression,2,0.8181818181818182,0.782608695652174,0.8571428571428571,0.8571428571428571,0.782608695652174,0.8181818181818182,0.6371134020618558
top5_LogisticRegression_voting_models_3,LogisticRegression,3,0.8409090909090909,0.8695652173913043,0.8095238095238095,0.8333333333333334,0.8695652173913043,0.851063829787234,0.6804979253112035
top5_LogisticRegression_voting_models_4,LogisticRegression,4,0.8636363636363636,0.8260869565217391,0.9047619047619048,0.9047619047619048,0.8260869565217391,0.8636363636363636,0.7278350515463918
top5_LogisticRegression_voting_models_5,LogisticRegression,5,0.9318181818181818,0.8695652173913043,1.0,1.0,0.8695652173913043,0.9302325581395349,0.8641975308641975
top5_LogisticRegression_voting_models_6,LogisticRegression,6,0.8636363636363636,0.8260869565217391,0.9047619047619048,0.9047619047619048,0.8260869565217391,0.8636363636363636,0.7278350515463918
top5_LogisticRegression_voting_models_7,LogisticRegression,7,0.8636363636363636,0.9130434782608695,0.8095238095238095,0.84,0.9130434782608695,0.8749999999999999,0.7255717255717256
top5_LogisticRegression_voting_models_8,LogisticRegression,8,0.8636363636363636,0.8695652173913043,0.8571428571428571,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.7267080745341615
top5_LogisticRegression_voting_models_9,LogisticRegression,9,0.8863636363636364,0.9130434782608695,0.8571428571428571,0.875,0.9130434782608695,0.8936170212765957,0.7717842323651453
top5_LogisticRegression_voting_models_10,LogisticRegression,10,0.7954545454545454,0.6521739130434783,0.9523809523809523,0.9375,0.6521739130434783,0.7692307692307693,0.5959183673469387
top5_LogisticRegression_voting_models_11,LogisticRegression,11,0.7954545454545454,0.6956521739130435,0.9047619047619048,0.8888888888888888,0.6956521739130435,0.7804878048780488,0.5942622950819672
top5_LogisticRegression_voting_models_12,LogisticRegression,12,0.8636363636363636,0.8695652173913043,0.8571428571428571,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.7267080745341615
top5_LogisticRegression_voting_models_13,LogisticRegression,13,0.9090909090909091,0.9130434782608695,0.9047619047619048,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.8178053830227743
